file	program	config	c_size	u_size	c_time	d_time	c_mem	d_mem	c_cpu	d_cpu	is_lossless
2295_S34_L001.il.fq	plzip	plzip_l9_s	19479573	319978424	410.09	3.25	487	34	100	99	1
2274_S13_L001.il.fq	plzip	plzip_l9_s	29296026	385430632	514.99	4.32	488	34	100	100	1
2216_S3_L001.il.fq	plzip	plzip_l9_s	20932391	347444344	442.8	3.58	487	34	100	99	1
2254_S41_L001.il.fq	plzip	plzip_l9_s	25854196	375101846	504.01	4.03	488	34	100	99	1
2241_S28_L001.il.fq	plzip	plzip_l9_s	34117118	347670024	479.52	4.6	490	34	100	99	1
2235_S22_L001.il.fq	plzip	plzip_l9_s	27426771	431585584	560.85	5.92	488	34	100	99	1
2304_S43_L001.il.fq	plzip	plzip_l9_s	16923800	308830288	408.75	3.02	487	34	100	100	1
2218_S5_L001.il.fq	plzip	plzip_l9_s	62275891	458633010	712	7.42	491	34	100	99	1
2305_S44_L001.il.fq	plzip	plzip_l9_m	24015208	298045616	298.61	2.39	1000	66	186	163	1
2262_S1_L001.il.fq	plzip	plzip_l9_s	26567723	418410180	559.81	4.23	488	34	100	100	1
2220_S7_L001.il.fq	plzip	plzip_l9_s	29771276	407466534	564.26	4.5	488	34	100	100	1
2240_S27_L001.il.fq	plzip	plzip_l9_s	33227968	367953250	501.44	4.76	490	34	100	99	1
2232_S19_L001.il.fq	plzip	plzip_l9_s	34093519	384683514	526.33	4.72	489	34	100	99	1
2301_S40_L001.il.fq	plzip	plzip_l9_s	20857904	349276596	458.81	3.46	487	34	100	99	1
2276_S15_L001.il.fq	plzip	plzip_l9_s	29321486	366767194	494.02	5.6	489	34	100	99	1
2298_S37_L001.il.fq	plzip	plzip_l9_s	22802891	274403560	371.16	3.28	489	34	100	99	1
2297_S36_L001.il.fq	spring	spring_m	17029120	297605488	47.99	11.11	897	732	186	168	1
2265_S4_L001.il.fq	plzip	plzip_l9_s	27798905	418596336	573.72	4.33	488	34	100	100	1
2252_S39_L001.il.fq	plzip	plzip_l9_s	26165658	368794574	493.01	4.04	488	34	100	99	1
2250_S37_L001.il.fq	plzip	plzip_l9_s	20553331	338071598	449.92	4.6	487	34	100	99	1
2237_S24_L001.il.fq	plzip	plzip_l9_s	29988774	440977110	575.44	6.14	488	34	100	99	1
2294_S33_L001.il.fq	plzip	plzip_l9_s	19528586	270026346	353.22	2.97	488	34	100	99	1
2224_S11_L001.il.fq	plzip	plzip_l9_m	22829503	342963850	353.47	2.83	1035	66	176	173	1
2293_S32_L001.il.fq	plzip	plzip_l9_s	21175231	373086500	515.76	3.98	487	34	100	99	1
2233_S20_L001.il.fq	plzip	plzip_l9_s	31280994	312791608	460.26	4.87	490	34	100	99	1
2229_S16_L001.il.fq	plzip	plzip_l9_s	34287421	419881230	575.01	6.03	489	34	100	99	1
2259_S46_L001.il.fq	plzip	plzip_l9_s	25281105	350734246	498.92	4.59	488	34	100	99	1
2215_S2_L001.il.fq	plzip	plzip_l9_m	25861789	355812082	362.81	2.98	1035	66	186	176	1
2248_S35_L001.il.fq	plzip	plzip_l9_m	32516076	515301428	530.37	3.74	1036	66	194	188	1
2297_S36_L001.il.fq	plzip	plzip_l9_m	21212981	297605488	313.99	2.19	1000	66	190	182	1
2283_S22_L001.il.fq	plzip	plzip_l9_m	41122775	429575634	468.72	3.6	1040	66	191	192	1
2260_S47_L001.il.fq	plzip	plzip_l9_m	32899679	373982572	406.68	3.15	1037	66	186	176	1
2223_S10_L001.il.fq	plzip	plzip_l9_m	29135729	366792588	404.63	2.91	1037	66	184	182	1
2249_S36_L001.il.fq	plzip	plzip_l9_m	25287198	375702258	416.45	2.79	1035	66	188	185	1
2273_S12_L001.il.fq	plzip	plzip_l9_m	22792546	380317040	430.75	2.55	1034	66	190	188	1
2266_S5_L001.il.fq	plzip	plzip_l9_m	32729066	595944536	653.11	3.72	1035	66	188	183	1
2263_S2_L001.il.fq	plzip	plzip_l9_m	24193708	416736936	438.97	2.81	1034	66	196	175	1
2289_S28_L001.il.fq	plzip	plzip_l9_m	20882626	388820198	398.6	2.39	1034	66	196	190	1
2253_S40_L001.il.fq	plzip	plzip_l9_m	29143839	392234212	424.33	3.02	1036	66	196	190	1
2274_S13_L001.il.fq	plzip	plzip_l9_m	29296026	385430632	419.17	2.7	1037	66	192	189	1
2257_S44_L001.il.fq	plzip	plzip_l9_m	24632280	319269900	367.18	2.65	1021	66	177	167	1
2239_S26_L001.il.fq	plzip	plzip_l9_m	37490926	357055160	407.88	3.42	1040	66	175	179	1
2254_S41_L001.il.fq	plzip	plzip_l9_m	25854196	375101846	413.76	2.79	1036	66	190	185	1
2232_S19_L001.il.fq	plzip	plzip_l9_m	34093519	384683514	403.76	3.06	1039	66	193	193	1
2265_S4_L001.il.fq	plzip	plzip_l9_m	27798905	418596336	455.17	2.58	1035	66	195	195	1
2216_S3_L001.il.fq	plzip	plzip_l9_m	20932391	347444344	386.52	2.2	1035	66	179	187	1
2298_S37_L001.il.fq	plzip	plzip_l9_m	22802891	274403560	288.91	2.2	979	66	198	181	1
2248_S35_L001.il.fq	quip	quip	31521539	515301428	10.93	14.55	392	391	165	171	1
2283_S22_L001.il.fq	quip	quip	36575415	429575634	10.38	13.3	392	391	159	167	1
2260_S47_L001.il.fq	quip	quip	30487691	373982572	8.14	10.86	392	391	166	175	1
2241_S28_L001.il.fq	plzip	plzip_l9_m	34117118	347670024	401.77	3.24	1039	66	175	177	1
2262_S1_L001.il.fq	plzip	plzip_l9_m	26567723	418410180	437.92	2.74	1035	66	195	192	1
2235_S22_L001.il.fq	plzip	plzip_l9_m	27426771	431585584	456.79	3.37	1035	66	191	183	1
2304_S43_L001.il.fq	plzip	plzip_l9_m	16923800	308830288	361.45	1.75	1009	66	183	194	1
2233_S20_L001.il.fq	plzip	plzip_l9_m	31280994	312791608	375.02	3.02	1018	66	178	176	1
2220_S7_L001.il.fq	plzip	plzip_l9_m	29771276	407466534	433.92	2.83	1036	66	199	197	1
2295_S34_L001.il.fq	plzip	plzip_l9_m	19479573	319978424	376.78	2.56	1019	66	176	165	1
2252_S39_L001.il.fq	plzip	plzip_l9_m	26165658	368794574	414.8	2.95	1036	66	186	182	1
2240_S27_L001.il.fq	plzip	plzip_l9_m	33227968	367953250	404.77	3.17	1038	66	185	184	1
2276_S15_L001.il.fq	plzip	plzip_l9_m	29321486	366767194	413.27	3.1	1039	66	187	181	1
2218_S5_L001.il.fq	plzip	plzip_l9_m	62275891	458633010	562.68	5.82	1042	66	180	176	1
2305_S44_L001.il.fq	quip	quip	23981317	298045616	7.35	10.12	392	391	155	157	1
2215_S2_L001.il.fq	quip	quip	22973305	355812082	7.2	9.33	392	391	167	178	1
2249_S36_L001.il.fq	quip	quip	23638763	375702258	7.39	10.01	392	391	169	177	1
2223_S10_L001.il.fq	quip	quip	26617083	366792588	7.7	9.99	392	391	169	178	1
2224_S11_L001.il.fq	quip	quip	22221170	342963850	7.27	9.74	392	391	165	170	1
2297_S36_L001.il.fq	quip	quip	20215742	297605488	6.51	8.86	392	391	162	168	1
2301_S40_L001.il.fq	plzip	plzip_l9_m	20857904	349276596	415.31	2.47	1034	66	174	167	1
2294_S33_L001.il.fq	plzip	plzip_l9_m	19528586	270026346	272.48	1.84	974	66	195	191	1
